"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338599",NA,3.91544,3.725972,3.70124,4.140202,3.751568,3.30987,4.175344,3.665528,3.62029,3.924245,3.974708,3.179031
"10338600",NA,5.334698,5.627701,5.318841,5.804322,5.986784,4.954818,5.699461,6.731052,6.273068,5.586122,5.830475,6.213823
"10338601",NA,7.617677,7.570786,7.875399,7.950537,7.745566,7.808696,6.970539,8.244817,8.57292,8.433888,8.356842,8.498252
"10338602",NA,4.027031,4.04871,4.922062,4.43931,3.54348,4.964276,4.275485,4.347271,4.807462,4.307332,4.30931,4.300306
"10338603",NA,7.239379,7.531388,6.79137,6.524952,7.32653,7.323874,7.480434,7.271431,7.13621,7.424929,7.483494,7.769611
"10338604",NA,11.24313,11.02994,10.97437,10.98219,11.22687,11.26301,11.28582,11.09741,11.43999,11.1234,11.02588,11.26211
"10338605",NA,8.396113,8.399045,8.484765,8.885227,8.407736,8.535209,8.326512,8.509068,8.827848,8.675292,8.516914,8.718951
"10338606",NA,6.796339,6.132751,6.44098,7.056018,7.313237,6.347386,6.825103,6.72199,7.125092,6.813152,6.468345,6.818172
"10338607",NA,5.110182,6.520645,5.134911,6.01206,5.229856,5.982908,5.425273,6.307092,6.020839,5.480911,5.790459,6.135366
"10338608",NA,4.552427,4.471474,4.599173,5.550112,4.842498,4.799005,4.398144,5.027422,4.828409,5.024791,4.546743,4.434676
"10338609",NA,3.643098,3.512372,3.65852,3.687333,4.221083,3.614724,3.926978,3.360587,4.367633,3.450578,3.497091,3.401801
"10338610",NA,5.11582,5.205568,6.0768,5.630105,6.023522,5.526374,5.899801,6.04888,5.767854,5.629985,5.891959,5.814591
"10338611",NA,3.435261,3.23378,3.398027,3.659703,3.341622,4.096857,4.074806,3.775024,3.32552,3.5228,4.280423,3.516795
"10338612",NA,4.664253,3.750613,3.683292,4.119762,4.360475,4.119052,4.490746,4.293045,4.16924,4.262703,4.23325,4.141071
"10338613",NA,4.513699,4.031936,4.693196,4.09946,3.935685,4.670528,4.813583,4.535891,4.165225,4.854488,4.538754,4.225757
"10338614",NA,3.381304,3.481008,3.596103,3.377655,3.638496,3.449693,3.71119,3.601122,3.364361,3.67188,3.839974,3.398056
