"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cog1",-0.119856880952382,9.08919015384615,-0.843914026517458,0.41364673482659,0.738002256814106,-5.85641785282165
"Syn1",-0.0890795952380943,6.23035976923077,-0.843803622526751,0.41370627402428,0.738013327173221,-5.85650901271182
"Tomm20l",-0.189114309523807,6.55305761538462,-0.843774169145429,0.413722158742669,0.738013327173221,-5.85653333038411
"Cdyl2",-0.123902476190474,7.46074538461538,-0.843690592604787,0.413767235211392,0.73801823702257,-5.85660232976958
"Gm10267",-0.59503819047619,4.87325684615385,-0.843555695626806,0.413839997870865,0.73801823702257,-5.85671368555169
"A230056P14Rik",0.0696904523809536,5.44606553846154,0.843509687290461,0.413864816437392,0.73801823702257,-5.85675166122144
"Myl7",-0.0929778095238101,6.07508930769231,-0.843477039016089,0.413882428697873,0.73801823702257,-5.85677860825961
"Gm9734",0.106759238095238,5.76535592307692,0.84342023091725,0.413913075265826,0.73801823702257,-5.85682549396642
"Saa2",-0.0620298333333338,4.32054684615385,-0.843384096578547,0.413932569629991,0.73801823702257,-5.85685531542806
"Ptk7",0.120592642857144,6.811412,0.843210730020195,0.4140261087863,0.738123296025338,-5.85699837795916
"Siah3",-0.0993368809523787,6.70982792307692,-0.843030472858944,0.414123380537118,0.738227557967506,-5.85714709874289
"Pcdh15",0.136007285714287,5.18406830769231,0.842974051364934,0.414153830236601,0.738227557967506,-5.85719364333213
"Dnaaf1",-0.286553999999999,7.10764930769231,-0.842879055388306,0.414205101253388,0.738257236637183,-5.85727200342618
"Or8b54",-0.0573069999999998,4.27562761538462,-0.842663638813179,0.414321380931903,0.738376306593063,-5.85744966656414
"B3galt5",-0.0712101904761884,4.89934761538461,-0.842627001588911,0.414341159477236,0.738376306593063,-5.8574798787874
"Cxcl12",0.155476738095244,8.94751492307692,0.842446599317895,0.414438558436843,0.738466634516203,-5.85762862711586
"Shcbp1l",-0.129444476190474,4.72405653846154,-0.842404835731625,0.414461108698645,0.738466634516203,-5.85766305867273
"Nudt19",0.0813417619047634,9.06156392307692,0.842321884829256,0.414505900466596,0.73848473736734,-5.85773144215852
"Tmed10",-0.0936045238095193,11.1073307692308,-0.84194213840158,0.414710996455215,0.738788411730242,-5.85804442253538
